Nombre Cliente,Apellido Cliente,Fecha Nacimiento,Estado Civil,Genero,Correo Electrónico,Ingreso Anual,Numero de Hijos,Nivel Educativo Cliente,Ocupacion,Propietario Casa
TAMARA,CHANDER,10/12/1967,Casado,F,tamara27@adventure-works.com," 80,000 ",4,Universitaria Postgrado,Independiente,Si
MARY,PATTERSON,01/29/1976,Casado,F,mary40@adventure-works.com," 40,000 ",0,Universitaria Completa,Independiente,No
SARAH,JACKSON,10/05/1979,Soltero,F,sarah14@adventure-works.com," 60,000 ",1,Universitaria Postgrado,Empleado,Si
CAROLINE,BUTLER,04/01/1973,Casado,F,caroline15@adventure-works.com," 60,000 ",0,Universitaria Postgrado,Independiente,Si
GAVIN,DIAZ,09/22/1981,Soltero,M,gavin20@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
IAN,LONG,01/11/1988,Soltero,M,ian50@adventure-works.com," 60,000 ",0,Universitaria Incompleta,Empleado,No
CEDRIC,GAO,08/01/1975,Soltero,M,cedric14@adventure-works.com," 130,000 ",0,Universitaria Postgrado,Empresario,Si
FERNANDO,JOHNSON,09/24/1986,Soltero,M,fernando2@adventure-works.com," 30,000 ",0,Secundaria Incompleta,Deportista,No
AARON,WANG,11/22/1971,Soltero,M,aaron24@adventure-works.com," 150,000 ",2,Universitaria Completa,Empresario,No
BAILEY,BAILEY,12/06/1956,Casado,F,bailey13@adventure-works.com," 60,000 ",2,Universitaria Completa,Empresario,Si
CHERYL,ORTEGA,05/16/1965,Casado,F,cheryl24@adventure-works.com," 70,000 ",3,Universitaria Incompleta,Independiente,Si
KEVIN,WASHINGTON,09/08/1985,Soltero,M,kevin16@adventure-works.com," 60,000 ",0,Universitaria Incompleta,Empleado,No
JANELLE,FERNANDEZ,09/04/1983,Soltero,F,janelle12@adventure-works.com," 10,000 ",0,Secundaria Incompleta,Comerciante,Si
LUKE,MITCHELL,03/07/1972,Soltero,M,luke43@adventure-works.com," 120,000 ",4,Universitaria Incompleta,Independiente,Si
DEREK,TANG,04/28/1974,Soltero,M,derek4@adventure-works.com," 20,000 ",2,Secundaria Completa,Comerciante,Si
KATE,ANAND,07/11/1964,Soltero,F,kate19@adventure-works.com," 110,000 ",2,Universitaria Incompleta,Independiente,Si
JACLYN,ZHANG,02/10/1972,Soltero,F,jaclyn0@adventure-works.com," 90,000 ",0,Universitaria Incompleta,Independiente,Si
LOGAN,DIAZ,09/04/1986,Casado,M,logan22@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,Si
EDUARDO,ALEXANDER,05/22/1969,Soltero,M,eduardo62@adventure-works.com," 130,000 ",1,Universitaria Completa,Empresario,No
CAMERON,GRIFFIN,09/12/1952,Soltero,M,cameron16@adventure-works.com," 60,000 ",4,Universitaria Completa,Empresario,Si
KRISTEN,GUO,07/19/1987,Soltero,F,kristen15@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,No
THEODORE,SUAREZ,04/28/1974,Soltero,M,theodore20@adventure-works.com," 10,000 ",5,Secundaria Incompleta,Comerciante,Si
JOSE,EDWARDS,05/07/1953,Casado,M,jose39@adventure-works.com," 60,000 ",4,Universitaria Completa,Empresario,Si
FRANCISCO,CHANDRA,12/29/1964,Casado,M,francisco3@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
JILL,MORENO,12/27/1967,Soltero,F,jill14@adventure-works.com," 10,000 ",1,Secundaria Completa,Comerciante,No
ERNEST,LIU,07/21/1949,Soltero,M,ernest4@adventure-works.com," 10,000 ",2,Universitaria Incompleta,Comerciante,Si
KATELYN,SANDERS,11/07/1944,Casado,F,katelyn2@adventure-works.com," 130,000 ",2,Universitaria Postgrado,Empresario,Si
THOMAS,HARRISON,09/22/1949,Soltero,M,thomas25@adventure-works.com," 90,000 ",5,Universitaria Completa,Empresario,Si
CHARLES,PHILLIPS,07/24/1969,Casado,M,charles42@adventure-works.com," 170,000 ",1,Universitaria Postgrado,Empresario,No
JUSTIN,GONZALES,03/05/1969,Soltero,M,justin14@adventure-works.com," 170,000 ",1,Universitaria Postgrado,Empresario,No
CHLOE,HUGHES,12/19/1983,Soltero,F,chloe78@adventure-works.com," 40,000 ",3,Universitaria Incompleta,Deportista,Si
SOPHIA,WRIGHT,05/07/1968,Casado,F,sophia18@adventure-works.com," 130,000 ",4,Universitaria Completa,Empresario,Si
ISABELLA,EDWARDS,01/31/1982,Soltero,F,isabella34@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
ANTONIO,BUTLER,09/12/1983,Soltero,M,antonio14@adventure-works.com," 40,000 ",3,Universitaria Incompleta,Deportista,Si
SEAN,SANCHEZ,02/10/1967,Casado,M,sean25@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,Si
VANESSA,RUSSELL,05/19/1978,Casado,F,vanessa20@adventure-works.com," 70,000 ",4,Universitaria Postgrado,Independiente,Si
IAN,LEWIS,12/15/1949,Casado,M,ian19@adventure-works.com," 70,000 ",5,Universitaria Postgrado,Empresario,Si
ARIANNA,WARD,08/03/1967,Soltero,F,arianna34@adventure-works.com," 10,000 ",1,Secundaria Completa,Comerciante,No
ERIN,ROGERS,01/14/1950,Casado,F,erin23@adventure-works.com," 130,000 ",2,Universitaria Completa,Empresario,Si
CORY,KAPOOR,07/05/1975,Casado,M,cory19@adventure-works.com," 40,000 ",0,Universitaria Completa,Deportista,Si
CARMEN,RANA,05/12/1975,Casado,F,carmen14@adventure-works.com," 40,000 ",0,Universitaria Completa,Deportista,No
ROGER,ANAND,05/03/1967,Soltero,M,roger50@adventure-works.com," 20,000 ",2,Universitaria Incompleta,Comerciante,Si
TASHA,CHANDER,07/24/1978,Casado,F,tasha16@adventure-works.com," 30,000 ",0,Universitaria Completa,Deportista,Si
ISABELLE,BARNES,10/28/1966,Casado,F,isabelle3@adventure-works.com," 20,000 ",1,Universitaria Completa,Comerciante,Si
MARCUS,HAYES,09/06/1968,Casado,M,marcus72@adventure-works.com," 30,000 ",3,Universitaria Postgrado,Deportista,Si
ERICK,FERNANDEZ,05/16/1978,Casado,M,erick15@adventure-works.com," 40,000 ",0,Universitaria Postgrado,Deportista,No
RODNEY,BLANCO,05/18/1987,Soltero,M,rodney11@adventure-works.com," 10,000 ",1,Secundaria Completa,Comerciante,No
SHAWN,CHANDER,09/06/1976,Casado,M,shawn17@adventure-works.com," 60,000 ",2,Universitaria Completa,Independiente,Si
RAYMOND,ARTHUR,09/09/1974,Casado,M,raymond8@adventure-works.com," 100,000 ",0,Universitaria Postgrado,Empresario,Si
CESAR,CHANDRA,05/31/1971,Soltero,M,cesar2@adventure-works.com," 60,000 ",3,Universitaria Completa,Independiente,No
DAWN,RAJI,08/03/1974,Soltero,F,dawn45@adventure-works.com," 100,000 ",0,Universitaria Postgrado,Empresario,No
KATELYN,WARD,07/11/1971,Soltero,F,katelyn11@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
MARIAH,RIVERA,06/12/1970,Casado,F,mariah41@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
DALE,GOEL,03/10/1958,Soltero,M,dale17@adventure-works.com," 30,000 ",3,Universitaria Incompleta,Deportista,Si
JOE,VAZQUEZ,06/30/1958,Casado,M,joe38@adventure-works.com," 30,000 ",3,Universitaria Incompleta,Deportista,No
EVELYN,MEHTA,04/23/1959,Casado,F,evelyn15@adventure-works.com," 30,000 ",3,Secundaria Completa,Empleado,Si
BARBARA,DENG,01/05/1964,Casado,F,barbara32@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,Si
EDWIN,TANG,04/29/1965,Soltero,M,edwin26@adventure-works.com," 70,000 ",2,Secundaria Completa,Independiente,Si
DENNIS,HU,04/16/1983,Soltero,M,dennis22@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
KRISTI,SERRANO,05/01/1981,Soltero,F,kristi12@adventure-works.com," 120,000 ",0,Secundaria Incompleta,Independiente,Si
RUTH,GARCIA,08/18/1980,Casado,F,ruth19@adventure-works.com," 130,000 ",4,Secundaria Completa,Empresario,Si
DEBORAH,SHAN,07/02/1979,Soltero,F,deborah15@adventure-works.com," 100,000 ",0,Secundaria Completa,Empresario,Si
JARROD,SARA,05/03/1979,Casado,M,jarrod10@adventure-works.com," 100,000 ",0,Secundaria Completa,Empresario,Si
GEOFFREY,RODRIGUEZ,06/24/1986,Soltero,M,geoffrey17@adventure-works.com," 10,000 ",0,Universitaria Incompleta,Comerciante,No
MEREDITH,VANCE,03/11/1989,Soltero,F,meredith2@adventure-works.com," 10,000 ",0,Universitaria Incompleta,Comerciante,No
MAYRA,RAMAN,12/27/1984,Casado,F,mayra12@adventure-works.com," 10,000 ",1,Secundaria Completa,Comerciante,Si
KEITH,SHAN,06/09/1987,Soltero,M,keith13@adventure-works.com," 20,000 ",0,Universitaria Completa,Deportista,Si
KAITLYN,LONG,12/22/1968,Casado,F,kaitlyn76@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
JOSHUA,RODRIGUEZ,12/04/1961,Casado,M,joshua22@adventure-works.com," 60,000 ",3,Universitaria Postgrado,Empresario,Si
CONNOR,BRYANT,12/13/1978,Casado,M,connor12@adventure-works.com," 40,000 ",1,Universitaria Completa,Empleado,Si
JILL,MARTINEZ,11/09/1986,Soltero,F,jill7@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,No
MELISSA,SANDERS,08/28/1983,Soltero,F,melissa26@adventure-works.com," 40,000 ",0,Universitaria Incompleta,Empleado,No
ABIGAIL,THOMPSON,08/20/1971,Casado,F,abigail56@adventure-works.com," 60,000 ",3,Universitaria Postgrado,Independiente,Si
WAYNE,CHANDER,09/02/1975,Soltero,M,wayne18@adventure-works.com," 50,000 ",0,Universitaria Incompleta,Empleado,No
MOLLY,PRASAD,01/10/1965,Soltero,F,molly9@adventure-works.com," 60,000 ",2,Secundaria Completa,Independiente,No
BRANDON,GARCIA,09/06/1963,Soltero,M,brandon39@adventure-works.com," 60,000 ",2,Secundaria Completa,Independiente,No
KATELYN,MITCHELL,06/26/1986,Soltero,F,katelyn34@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,No
IAN,WASHINGTON,07/30/1956,Casado,M,ian54@adventure-works.com," 40,000 ",2,Secundaria Completa,Independiente,Si
HANNAH,MARTINEZ,07/28/1956,Casado,F,hannah15@adventure-works.com," 40,000 ",2,Secundaria Completa,Independiente,No
CHRISTIAN,PERRY,01/31/1958,Casado,M,christian22@adventure-works.com," 40,000 ",2,Secundaria Incompleta,Empleado,Si
WAYNE,NATH,01/11/1976,Casado,M,wayne21@adventure-works.com," 30,000 ",1,Universitaria Completa,Deportista,Si
MEREDITH,ALVAREZ,07/03/1972,Soltero,F,meredith27@adventure-works.com," 10,000 ",5,Secundaria Incompleta,Comerciante,Si
NICHOLAS,THOMPSON,08/24/1940,Soltero,M,nicholas16@adventure-works.com," 90,000 ",3,Universitaria Postgrado,Empresario,Si
DONNA,XIE,04/26/1963,Soltero,F,donna3@adventure-works.com," 10,000 ",2,Universitaria Incompleta,Comerciante,Si
TAYLOR,HOWARD,07/22/1972,Soltero,F,taylor14@adventure-works.com," 90,000 ",0,Universitaria Incompleta,Independiente,No
DANIELLE,REED,08/22/1972,Soltero,F,danielle23@adventure-works.com," 150,000 ",2,Universitaria Completa,Empresario,No
LAUREN,MARTINEZ,01/27/1965,Soltero,F,lauren35@adventure-works.com," 70,000 ",4,Universitaria Incompleta,Independiente,Si
KYLE,FOSTER,06/29/1942,Casado,M,kyle11@adventure-works.com," 50,000 ",2,Universitaria Postgrado,Empresario,Si
KATELYN,SANCHEZ,11/04/1969,Casado,F,katelyn26@adventure-works.com," 130,000 ",1,Universitaria Completa,Empresario,Si
SETH,PHILLIPS,01/22/1970,Soltero,M,seth42@adventure-works.com," 150,000 ",1,Universitaria Incompleta,Independiente,No
SPENCER,RUSSELL,02/28/1969,Soltero,M,spencer22@adventure-works.com," 90,000 ",4,Secundaria Completa,Independiente,No
HUNTER,RODRIGUEZ,01/21/1963,Casado,M,hunter53@adventure-works.com," 80,000 ",2,Secundaria Incompleta,Empleado,Si
VICTORIA,RUSSELL,12/04/1960,Soltero,F,victoria66@adventure-works.com," 40,000 ",3,Universitaria Incompleta,Independiente,No
RAFAEL,XIE,09/12/1947,Casado,M,rafael26@adventure-works.com," 130,000 ",2,Universitaria Completa,Empresario,Si
JAIME,MORENO,05/21/1948,Casado,M,jaime48@adventure-works.com," 90,000 ",5,Universitaria Completa,Empresario,Si
ANDY,ALVAREZ,10/11/1948,Soltero,M,andy9@adventure-works.com," 90,000 ",5,Universitaria Completa,Empresario,Si
STEVE,WAGNER,02/19/1985,Soltero,M,steve5@adventure-works.com," 20,000 ",0,Secundaria Completa,Comerciante,No
JOEL,PRASAD,11/20/1978,Casado,M,joel8@adventure-works.com," 30,000 ",0,Universitaria Completa,Deportista,Si
SHANNON,HUANG,05/14/1962,Casado,F,shannon6@adventure-works.com," 30,000 ",1,Secundaria Completa,Deportista,Si
DESTINY,ROGERS,08/31/1981,Casado,F,destiny26@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
CHRISTIAN,HUGHES,03/10/1964,Casado,M,christian26@adventure-works.com," 80,000 ",5,Universitaria Postgrado,Empleado,Si
DAWN,LAL,09/09/1977,Casado,F,dawn32@adventure-works.com," 30,000 ",0,Universitaria Completa,Deportista,Si
ARIANA,COOK,03/27/1964,Casado,F,ariana19@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
JOAN,WASHINGTON,11/05/1965,Casado,F,joan7@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
ALBERTO,NAVARRO,04/16/1967,Soltero,M,alberto11@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,Si
MYA,GONZALES,01/07/1963,Casado,F,mya17@adventure-works.com," 30,000 ",1,Secundaria Completa,Deportista,Si
NICOLE,TAYLOR,11/14/1967,Soltero,F,nicole9@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,No
DAKOTA,ROSS,06/10/1966,Casado,M,dakota3@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,Si
HALEY,POWELL,03/12/1980,Casado,F,haley27@adventure-works.com," 60,000 ",1,Universitaria Postgrado,Empleado,Si
RYAN,SMITH,06/09/1981,Soltero,M,ryan39@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
AUSTIN,BRYANT,02/02/1966,Casado,M,austin14@adventure-works.com," 40,000 ",1,Universitaria Incompleta,Deportista,Si
JUSTIN,WASHINGTON,11/08/1967,Casado,M,justin10@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,Si
LOGAN,CHOW,07/04/1966,Casado,M,logan25@adventure-works.com," 60,000 ",4,Universitaria Postgrado,Empleado,Si
ISAIAH,WRIGHT,04/27/1979,Soltero,M,isaiah45@adventure-works.com," 40,000 ",4,Secundaria Completa,Empleado,Si
CLAUDIA,LI,04/21/1977,Soltero,F,claudia2@adventure-works.com," 40,000 ",0,Universitaria Postgrado,Deportista,Si
ADRIANA,CHANDRA,02/18/1955,Casado,F,adriana2@adventure-works.com," 100,000 ",3,Universitaria Completa,Empresario,Si
JOSÉ,SARAIVA,12/08/1955,Casado,M,josé5@adventure-works.com," 110,000 ",4,Secundaria Incompleta,Independiente,Si
IAN,MARTIN,05/31/1979,Soltero,M,ian14@adventure-works.com," 30,000 ",0,Secundaria Completa,Comerciante,No
JESSICA,POWELL,12/02/1976,Casado,F,jessica33@adventure-works.com," 30,000 ",1,Universitaria Completa,Deportista,Si
MAX,FERRIER,06/03/1976,Soltero,M,max8@adventure-works.com," 40,000 ",0,Universitaria Postgrado,Deportista,Si
BONNIE,XIE,02/01/1977,Casado,F,bonnie8@adventure-works.com," 40,000 ",0,Universitaria Postgrado,Deportista,Si
STEVE,GAO,03/27/1973,Soltero,M,steve17@adventure-works.com," 10,000 ",4,Secundaria Incompleta,Comerciante,Si
ABBY,ARTHUR,03/22/1973,Casado,F,abby5@adventure-works.com," 30,000 ",1,Universitaria Completa,Empleado,Si
KELSEY,CHANDE,01/30/1983,Soltero,F,kelsey14@adventure-works.com," 20,000 ",0,Secundaria Incompleta,Comerciante,Si
MISTY,DENG,06/27/1979,Soltero,F,misty2@adventure-works.com," 40,000 ",2,Universitaria Incompleta,Deportista,Si
BRENDAN,XU,02/09/1975,Soltero,M,brendan4@adventure-works.com," 10,000 ",4,Secundaria Incompleta,Comerciante,Si
EMMA,PATTERSON,10/13/1974,Soltero,F,emma56@adventure-works.com," 20,000 ",2,Secundaria Completa,Comerciante,Si
CASEY,TANG,02/04/1952,Casado,F,casey4@adventure-works.com," 40,000 ",1,Universitaria Postgrado,Deportista,Si
COLLEEN,CAI,05/26/1977,Soltero,F,colleen22@adventure-works.com," 50,000 ",0,Universitaria Postgrado,Empleado,Si
COREY,KUMAR,04/26/1965,Casado,M,corey7@adventure-works.com," 170,000 ",3,Universitaria Completa,Empresario,Si
DARRYL,ZHENG,08/05/1977,Soltero,M,darryl19@adventure-works.com," 110,000 ",1,Universitaria Postgrado,Empresario,Si
RICARDO,XIE,11/07/1977,Casado,M,ricardo3@adventure-works.com," 130,000 ",1,Universitaria Postgrado,Empresario,Si
SETH,CAMPBELL,10/18/1976,Casado,M,seth43@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
SUSAN,LIU,08/27/1973,Soltero,F,susan13@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
JONATHON,NAVARRO,10/05/1971,Soltero,M,jonathon7@adventure-works.com," 60,000 ",3,Universitaria Completa,Independiente,Si
LACEY,MA,08/05/1971,Soltero,F,lacey28@adventure-works.com," 60,000 ",3,Universitaria Completa,Independiente,No
DENISE,FERNANDEZ,01/23/1976,Casado,F,denise16@adventure-works.com," 80,000 ",5,Universitaria Completa,Independiente,Si
EVAN,PARKER,06/23/1968,Soltero,M,evan23@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
RICKY,GOMEZ,10/07/1967,Soltero,NA,ricky1@adventure-works.com," 100,000 ",5,Universitaria Completa,Independiente,Si
CHRISTY,PAL,09/13/1969,Casado,F,christy29@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
ADAM,HILL,11/21/1966,Casado,M,adam43@adventure-works.com," 80,000 ",5,Universitaria Completa,Independiente,No
JACQUELYN,DIAZ,07/26/1964,Soltero,F,jacquelyn3@adventure-works.com," 70,000 ",2,Universitaria Incompleta,Empleado,No
FRANCISCO,SAI,04/02/1948,Casado,M,francisco6@adventure-works.com," 30,000 ",2,Universitaria Incompleta,Deportista,No
DALTON,GARCIA,05/12/1950,Casado,M,dalton15@adventure-works.com," 40,000 ",2,Universitaria Completa,Empresario,Si
STEVE,CHEN,11/02/1959,Casado,M,steve6@adventure-works.com," 30,000 ",3,Secundaria Completa,Empleado,No
LOUIS,ZENG,02/13/1960,Soltero,M,louis16@adventure-works.com," 30,000 ",3,Secundaria Completa,Empleado,Si
PRISCILLA,NARA,08/04/1960,Casado,F,priscilla15@adventure-works.com," 30,000 ",3,Secundaria Completa,Empleado,Si
KRYSTAL,SUN,11/03/1962,Soltero,F,krystal13@adventure-works.com," 80,000 ",2,Universitaria Incompleta,Empleado,No
JODI,CHAVEZ,08/30/1963,Soltero,F,jodi15@adventure-works.com," 80,000 ",2,Universitaria Incompleta,Empleado,Si
TARA,ASHE,03/08/1983,Soltero,F,tara23@adventure-works.com," 100,000 ",0,Secundaria Completa,Empresario,Si
TODD,YANG,09/09/1981,Soltero,M,todd6@adventure-works.com," 90,000 ",0,Universitaria Completa,Independiente,No
KRISTOPHER,GONZALEZ,12/08/1988,Soltero,M,kristopher17@adventure-works.com," 10,000 ",0,Universitaria Incompleta,Comerciante,No
KATHLEEN,NAVARRO,06/09/1985,Soltero,F,kathleen12@adventure-works.com," 10,000 ",0,Secundaria Completa,Comerciante,No
ALEJANDRO,LIU,04/09/1977,Casado,M,alejandro6@adventure-works.com," 90,000 ",1,Universitaria Postgrado,Empresario,No
CEDRIC,CAI,03/05/1979,Casado,M,cedric21@adventure-works.com," 80,000 ",5,Universitaria Postgrado,Empresario,Si
LEAH,GUO,12/09/1976,Soltero,F,leah14@adventure-works.com," 60,000 ",2,Universitaria Completa,Independiente,Si
MARTIN,PEREZ,11/06/1974,Casado,M,martin5@adventure-works.com," 90,000 ",0,Universitaria Completa,Independiente,Si
ALVIN,SHARMA,08/23/1976,Soltero,M,alvin32@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,Si
ALVIN,JAI,04/23/1969,Casado,M,alvin33@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,No
MEAGAN,PRASAD,01/01/1972,Soltero,F,meagan9@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
RUBEN,GARCIA,12/07/1971,Soltero,M,ruben16@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
WYATT,WILLIAMS,10/21/1971,Soltero,M,wyatt2@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,No
FRANKLIN,SUN,02/19/1971,Soltero,M,franklin12@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
STEFANIE,RANA,08/21/1970,Casado,F,stefanie8@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
ROGER,LU,12/26/1958,Casado,M,roger16@adventure-works.com," 30,000 ",3,Universitaria Incompleta,Deportista,No
EDWIN,LIN,10/19/1959,Casado,M,edwin8@adventure-works.com," 30,000 ",3,Secundaria Completa,Empleado,Si
TASHA,JAI,09/27/1960,Casado,F,tasha12@adventure-works.com," 30,000 ",3,Secundaria Completa,Empleado,No
HECTOR,VAZQUEZ,07/27/1962,Soltero,M,hector12@adventure-works.com," 80,000 ",2,Universitaria Incompleta,Empleado,No
DEREK,SHAN,07/05/1963,Soltero,M,derek9@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,No
CHRISTY,LIU,12/05/1963,Casado,F,christy4@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,Si
ROBIN,CARLSON,10/14/1964,Casado,F,robin14@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,Si
ALEX,HILL,09/14/1964,Soltero,M,alex42@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,Si
KRISTEN,HU,09/04/1964,Soltero,F,kristen17@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,No
GLORIA,MUNOZ,06/27/1964,Casado,F,gloria7@adventure-works.com," 80,000 ",2,Secundaria Completa,Empleado,Si
CRISTINA,NARA,11/12/1965,Soltero,F,cristina15@adventure-works.com," 70,000 ",2,Secundaria Completa,Independiente,No
CASEY,NAVARRO,04/01/1966,Casado,M,casey33@adventure-works.com," 100,000 ",1,Universitaria Completa,Empresario,Si
LACEY,HU,01/08/1984,Soltero,F,lacey33@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,Si
NIÑIA,ANAND,03/14/1985,Casado,F,niñia0@adventure-works.com," 70,000 ",0,Universitaria Completa,Independiente,Si
ROY,MORENO,10/12/1984,Soltero,M,roy27@adventure-works.com," 80,000 ",0,Universitaria Completa,Independiente,No
SUSAN,SHE,03/12/1982,Casado,F,susan34@adventure-works.com," 80,000 ",0,Universitaria Completa,Independiente,Si
ARTHUR,MEHTA,06/05/1982,Soltero,M,arthur16@adventure-works.com," 90,000 ",0,Universitaria Completa,Independiente,Si
TABITHA,MORENO,05/28/1981,Soltero,F,tabitha26@adventure-works.com," 100,000 ",0,Secundaria Completa,Empresario,Si
GLORIA,ALONSO,08/28/1981,Soltero,F,gloria8@adventure-works.com," 120,000 ",0,Secundaria Incompleta,Independiente,Si
JAY,LOPEZ,01/30/1982,Casado,M,jay23@adventure-works.com," 130,000 ",4,Secundaria Completa,Empresario,Si
ABBY,SANCHEZ,10/09/1980,Casado,F,abby17@adventure-works.com," 90,000 ",0,Universitaria Completa,Independiente,Si
EDUARDO,PEREZ,02/06/1968,Soltero,M,eduardo36@adventure-works.com," 70,000 ",5,Universitaria Postgrado,Independiente,Si
KATHERINE,STEWART,01/12/1967,Soltero,F,katherine2@adventure-works.com," 60,000 ",1,Universitaria Completa,Independiente,No
HAILEY,STEWART,08/28/1966,Soltero,F,hailey0@adventure-works.com," 80,000 ",5,Universitaria Postgrado,Independiente,Si
MORGAN,HOWARD,01/23/1989,Soltero,F,morgan59@adventure-works.com," 30,000 ",0,Secundaria Completa,Empleado,No
ISABELLA,BRYANT,08/18/1980,Soltero,F,isabella28@adventure-works.com," 80,000 ",0,Universitaria Completa,Empresario,Si
KYLE,BRYANT,02/20/1978,Soltero,M,kyle13@adventure-works.com," 60,000 ",1,Universitaria Postgrado,Independiente,No
BYRON,ORTEGA,01/12/1987,Soltero,M,byron16@adventure-works.com," 40,000 ",0,Secundaria Completa,Empleado,No
JACKSON,PHILLIPS,05/21/1970,Casado,M,jackson36@adventure-works.com," 70,000 ",1,Universitaria Incompleta,Empleado,Si
JUSTIN,BROWN,06/24/1961,Soltero,M,justin35@adventure-works.com," 60,000 ",3,Universitaria Postgrado,Empresario,Si
JAMES,MILLER,07/02/1952,Casado,M,james81@adventure-works.com," 30,000 ",4,Secundaria Completa,Independiente,Si
THOMAS,YOUNG,04/03/1959,Soltero,M,thomas53@adventure-works.com," 60,000 ",2,Secundaria Completa,Independiente,No
ALEXA,RIVERA,11/26/1969,Casado,F,alexa15@adventure-works.com," 40,000 ",4,Secundaria Completa,Empleado,No
TIMOTHY,YOUNG,04/19/1968,Soltero,M,timothy42@adventure-works.com," 40,000 ",4,Secundaria Completa,Empleado,Si
IAN,WILSON,09/08/1973,Soltero,M,ian8@adventure-works.com," 40,000 ",0,Universitaria Completa,Independiente,No
BAILEY,HERNANDEZ,05/13/1967,Soltero,F,bailey38@adventure-works.com," 40,000 ",2,Universitaria Incompleta,Deportista,No
ALEXIS,MOORE,08/18/1980,Casado,F,alexis7@adventure-works.com," 50,000 ",1,Universitaria Postgrado,Empleado,Si
BRANDON,ZHANG,04/30/1970,Casado,M,brandon20@adventure-works.com," 60,000 ",1,Universitaria Incompleta,Empleado,Si
MARY,ROBERTS,05/03/1969,Soltero,F,mary17@adventure-works.com," 40,000 ",4,Secundaria Completa,Empleado,No
GABRIELLA,MURPHY,01/30/1970,Soltero,F,gabriella13@adventure-works.com," 40,000 ",4,Secundaria Completa,Empleado,Si
SETH,POWELL,07/14/1975,Soltero,M,seth56@adventure-works.com," 60,000 ",0,Universitaria Postgrado,Independiente,No
MASON,MURPHY,04/25/1967,Soltero,M,mason14@adventure-works.com," 60,000 ",4,Universitaria Completa,Independiente,No
KARA,JAI,08/04/1965,Soltero,F,kara10@adventure-works.com," 70,000 ",3,Universitaria Incompleta,Independiente,No
JERRY,KUMAR,02/04/1966,Casado,M,jerry8@adventure-works.com," 70,000 ",3,Universitaria Incompleta,Independiente,Si
LAURA,HU,07/15/1965,Casado,F,laura26@adventure-works.com," 70,000 ",3,Universitaria Incompleta,Independiente,Si
AUSTIN,SHARMA,02/12/1966,Soltero,M,austin27@adventure-works.com," 90,000 ",2,Universitaria Incompleta,Independiente,No
ANGEL,PHILLIPS,04/02/1964,Soltero,M,angel28@adventure-works.com," 70,000 ",4,Universitaria Incompleta,Independiente,No
MATTHEW,LEE,06/26/1964,Soltero,M,matthew26@adventure-works.com," 80,000 ",3,Universitaria Incompleta,Independiente,No
ERIC,YOUNG,06/21/1971,Soltero,M,eric58@adventure-works.com," 120,000 ",4,Universitaria Incompleta,Independiente,Si
JENNIFER,JENKINS,11/03/1971,Soltero,F,jennifer81@adventure-works.com," 120,000 ",4,Universitaria Incompleta,Independiente,Si
